,City,State,2010 census,2016 land area km2,2016 land area sq mi,2016 population density km2,2016 population density sq mi,Area code,Counties,Country,County,Demonym,Density,Elevation,Estimate,Founded by,Incorporated,Land,Mayor,Metro,Rank,Summer,Time zone,Type,Water,Website,change,location,ZIP,FIPS,Finance Director,GNIS,Historic,Airports
10,Austin,Texas,"790,390",809.9 ,312.7 ,"1,170","3,031",512 & 737,"Hays, Travis, Williamson",United States,,Austinite,"3,182/sq mi (1,228.6/km2)","289 - 1,330 ft (88 - 405 m)","964,254,950,715 (11th)",,"December 27, 1839",297.9 sq mi (771.5 km2),Steve Adler (D)[1],"2,168,316 (30th)",,UTC−5 (CDT),UTC−6 (CST),Council–manager,7.2 sq mi (18.6 km2),www.austintexas.gov,+22.00%,30°18′14″N 97°45′16″W﻿ ,78701-78769,48-05000[3],,1384879[4],,Austin–Bergstrom International Airport
11,Jacksonville,Florida,"821,784","1,935.8 ",747.4 ,455,"1,178",904,,United States,Duval,,"1,178.17/sq mi (454.89/km2)",16 ft (5 m),"903,889,892,062",1822,1832,"747.45 sq mi (1,935.87 km2)",Lenny Curry (R),"1,504,980 (US: 39th)",1st in Florida12th in United States,UTC−4 (EDT),UTC−5 (Eastern (EST)),Strong Mayor–Council,127.19 sq mi (329.42 km2),City of Jacksonville,+9.99%,30°20′13″N 81°39′42″W﻿ ,32099-32290,12-35000,,0295003[9],,Jacksonville International Airport
12,Fort Worth,Texas,"741,206",888.1 ,342.9 ,962,"2,491",682 and 817,"Tarrant, Denton, Parker, Wise[1]",United States,,Fort Worther,"2,181.0/sq mi (842.0/km2)",653 ft (216 m),"895,008",,1873[4],342.2 sq mi (886.3 km2),Betsy Price (R),"7,102,796 (US: 4th)",,UTC−5 (CDT),UTC−6 (CST),Council-Manager,7.0 sq mi (18.1 km2),fortworthtexas.gov,+20.75%,32°46′53″N 97°20′48″W﻿ ,76008-76262,48-27000,,1380947[6],,
13,Columbus,Ohio,"787,033",565.9 ,218.5 ,"1,520","3,936","614, 380, 740","Delaware, Fairfield, Franklin, Pickaway",United States,,Columbusite[14],"3,960.44/sq mi (1,399.2/km2)",902 ft (275 m),"892,533,879,170",,,217.17 sq mi (562.47 km2),Andrew J. Ginther (D),"2,078,725 (US: 32nd)",US: 14th,UTC-4 (EDT),UTC-5 (EST),,5.94 sq mi (15.38 km2),City of Columbus,+13.40%,39°59′07″N 82°59′05″W﻿ ,43085-43291,39-18000,,1080996[16],,
14,San Francisco,California,"805,235",121.5 ,46.9 ,"7,170","18,569",415/628[16],,United States,,San FranciscanSan Francisqueño/a,"18,838/sq mi (7,272/km2)","52 ft (16 m),934 ft (285 m),0 ft (0 m)","883,305",José Joaquín MoragaFrancisco Palóu,"April 15, 1850[3]",46.89 sq mi (121.46 km2),London Breed (D)[4],"4,729,484 (12th)",4th in California13th in United States,UTC−7 (Pacific Daylight Time),UTC−8 (Pacific Time Zone),Mayor-council,185.00 sq mi (479.14 km2)  80.00%,sf.gov,+9.70%,37°43′38″N 123°01′56″W﻿ ,94102-94102,06-67000,,"277593, 2411786",,
15,Charlotte,North Carolina,"731,424",791.0 ,305.4 ,"1,064","2,757","704, 980",,United States,Mecklenburg,Charlottean,"2,400/sq mi (950/km2)",761 ft (232 m),"872,498,859,035 (US: 17th)",,1768,,Vi Lyles (D),"2,474,314 (22nd)",,UTC−4 (EDT),UTC−5 (EST),Council-manager,,charlottenc.gov,+19.29%,35°12′28″N 80°49′52″W﻿ ,28250-28299,37-12000[3],,,,
16,Indianapolis,Indiana,"820,445",936.3 ,361.5 ,914,"2,366",317 and 463,,United States,Marion,Indianapolitan[8],"2,365.55/sq mi (913.34/km2)",715 ft (218 m),"867,125,863,002","January 6, 1821[2]","March 30, 1847[2]",361.51 sq mi (936.30 km2),Joe Hogsett (D),"2,004,230 (US: 34th)",16th in the United States,UTC−4 (EDT),UTC−5 (EST),Strong mayor–council,6.52 sq mi (16.88 km2),www.indy.gov,+5.69%,39°46′36″N 86°08′45″W﻿ ,46209-46298,18-36003[9],,,,
17,Seattle,Washington,"608,660",217.0 ,83.8 ,"3,245","8,405",206,,United States,King,Seattleite[5] or Seattlite[6],"8,642.42/sq mi (3,336.87/km2)","520 ft (158 m),0 ft (0 m)","744,955,724,745",,"December 2, 1869",83.86 sq mi (217.19 km2),Jenny Durkan (D),"3,733,580 (US: 15th)",US: 18th,UTC−7 (PDT),UTC−8 (PST),Mayor–council,58.21 sq mi (150.77 km2),Seattle.gov,+22.39%,47°37′14″N 122°21′03″W﻿ ,98119-98199,53-63000,,1512650[9],,
18,Denver,Colorado,"600,158",397.0 ,153.3 ,"1,746","4,521",303 and 720,,United States,,Denverite,"4,519.94/sq mi (1,745.15/km2)","5,130–5,690 ft (1,564–1,734 m)","716,492,716,492","November 17, 1858, as Denver City, K.T.[6]","November 7, 1861, as Denver City, C.T.[7]",153.33 sq mi (397.13 km2),Michael Hancock (D)[10],"2,888,227 (US: 19th)",US: 19th,UTC−6 (MDT),UTC−7 (MST),Consolidated City and County[1],1.63 sq mi (4.23 km2)  1.1%,denvergov.org,+19.38%,39°45′43″N 104°52′52″W﻿ ,80012-80299,08-20000,,0201738,,Denver International Airport
19,"Washington, D.C.",District of Columbia,"601,723",158.2 ,61.1 ,"4,304","11,148",202,,United States,,Washingtonian[1][2],"11,367/sq mi (4,389/km2)","409 ft (125 m),0 ft (0 m)","702,455",,,61.05 sq mi (158.1 km2),Muriel Bowser (D),"6,216,589 (6th, U.S.)","20th, U.S. as of 2017[update] incorporated places estimate",UTC−4 (EDT),UTC−5 (EST),,7.29 sq mi (18.9 km2),dc.gov,+16.74%,38°54′15″N 77°01′02″W﻿ ,20001-20599,,,,,Washington DullesWashington NationalBaltimore–Washington International
20,Boston,Massachusetts,"617,594",125.1 ,48.3 ,"5,381","13,938",617 and 857,,United States,Suffolk,Bostonian,"14,149/sq mi (5,463/km2)",141 ft (43 m),"694,583,685,094",,"March 19, 1822",48.42 sq mi (125.41 km2),Marty Walsh (D),"4,628,910 (US: 10th)[1]","21st, U.S. as of 2017[update] incorporated places estimate",UTC−4 (EDT),UTC−5 (EST),Strong mayor / Council,41.21 sq mi (106.73 km2),Boston.gov,+12.47%,42°19′55″N 71°01′13″W﻿ ,2126-2467,25-07000,,0617565,"Massachusetts Bay Colony in the Province of Massachusetts Bay,Kingdom of EnglandCommonwealth of EnglandKingdom of Great Britain",Logan International Airport
21,El Paso,Texas,"649,121",665.1 ,256.8 ,"1,030","2,660",915,,United States,El Paso,El Pasoan,,"3,740 ft (1,140 m)","682,669,683,577 (US: 22nd)",,1873,255.3 sq mi (661.1 km2),,"844,818 (US: 68th)",,UTC−6 (MDT),UTC−7 (MST),Council–manager,1.0 sq mi (2.6 km2),www.elpasotexas.gov,+5.17%,31°50′54″N 106°25′37″W﻿ ,,48-24000,,1380946[5],,"El Paso International AirportELP (Major/International),Biggs Army Airfield-KBIF(Military)"
22,Detroit,Michigan,"713,777",359.5 ,138.8 ,"1,871","4,847",313,,United States,Wayne,Detroiter,"4,852.42/sq mi (1,873.54/km2)",656 ft (200 m),"672,662,673,104","July 24, 1701","September 13, 1806",138.72 sq mi (359.27 km2),Mike Duggan (D),"4,292,060 (US: 14th)",U.S.: 23rd,UTC−4 (EDT),UTC−5 (EST),Mayor–council,4.17 sq mi (10.81 km2),Official website,−5.76%,42°22′59″N 83°06′08″W﻿ ,48127-48288,26-22000,,1617959[1],,
23,Nashville,Tennessee,"601,222","1,232.6 ",475.9 ,536,"1,388",615 and 629,,United States,Davidson,Nashvillian,"1,300/sq mi (510/km2)",597 ft (182 m),"669,053",1779,1806,"504.03 sq mi (1,305.4 km2)",David Briley[1] (D[1]),"1,903,045",,UTC−5 (CDT),UTC−6 (CST),,21.91 sq mi (56.7 km2),www.nashville.gov,+11.28%,36°10′18″N 86°47′06″W﻿ ,,,,,,
24,Portland,Oregon,"583,776",345.8 ,133.5 ,"1,851","4,793",503 and 971,MultnomahWashingtonClackamas,United States,,Portlander,"4,375.1/sq mi (1,689.2/km2)","50 ft (15.2 m),1,188 ft (362 m),0.62 ft (0.19 m)","653,115,647,805",1845,"February 8, 1851",133 sq mi (346 km2),Ted Wheeler[2] (D),"2,389,228 (US: 25th)",US: 26th,UTC−07:00 (PDT),UTC−08:00 (PST),Commission,12 sq mi (30 km2),PortlandOregon.gov,+11.88%,45°32′13″N 122°39′00″W﻿ ,,41-59000,,1136645[8],,
25,Memphis,Tennessee,"646,889",822.1 ,317.4 ,794,"2,056",901,,United States,Shelby,Memphian,"2,000/sq mi (770/km2)",337 ft (103 m),"650,618,652,236","May 22, 1819","December 19, 1826",315.1 sq mi (816.0 km2),Jim Strickland (D),"1,348,260 (US: 42nd)",US: 25th,UTC−5 (CDT),UTC−6 (CST),,9.0 sq mi (23.2 km2),City of Memphis,+0.58%,35°06′10″N 89°58′39″W﻿ ,37544-38197,47-48000[4],,,,
26,Oklahoma City,Oklahoma,"579,999","1,570.3 ",606.3 ,407,"1,053",405,"Oklahoma, Canadian, Cleveland, Pottawatomie",United States,,,930/sq mi (360/km2),"1,201 ft (366 m)","649,021,649,021","April 22, 1889[3]","July 15, 1890[3]","601.11 sq mi (1,556.87 km2)",David Holt (R),"1,396,445 (US: 41st)",US: 27th,UTC−5 (CDT),UTC−6 (CST),Council – Manager,19.23 sq mi (49.81 km2),Oklahoma City official website,+11.90%,35°28′02″N 97°30′49″W﻿ ,73167-74013,40-55000,,1102140[7],,
27,Las Vegas,Nevada,"583,756",348.1 ,134.4 ,"1,818","4,709",702 & 725,,United States,Clark,Las Vegan,"4,300/sq mi (1,700/km2)","2,001 ft (610 m)","644,644,648,224","May 15, 1905","March 16, 1911",135.8 sq mi (352 km2),Carolyn Goodman (I),"2,227,053",,UTC−7 (PDT),UTC−8 (PST),Council–manager,0.05 sq mi (0.1 km2),lasvegasnevada.gov,+10.43%,36°13′45″N 115°15′36″W﻿ ,,32-40000,,0847388,,LAS
28,Louisville,Kentucky,"597,337",682.5 ,263.5 ,903,"2,339",502,,United States,Jefferson,Louisvillian,"1,924/sq mi (743.0/km2)",466 ft (142 m),"620,118",George Rogers Clark,1828[6],380.46 sq mi (985.4 km2),Greg Fischer (D),"1,293,953[8] (US: 45th[a])",US: 29th[d]KY: 1st,UTC-4 (EDT),UTC-5 (EST),Mayor–council,17.23 sq mi (44.6 km2),LouisvilleKy.gov,+3.81%,38°09′55″N 85°38′51″W﻿ ,40100-40100,21-48006,,0509453[9],,"Louisville International Airport, Bowman Field"
29,Baltimore,Maryland,"620,961",209.5 ,80.9 ,"2,934","7,598","410, 443, and 667",,United States,None (Independent city),Baltimorean,"7,556.25/sq mi (2,917.48/km2)",0–480 ft (0–150 m),"602,495,602,495",1729,1796–1797,80.95 sq mi (209.65 km2),Jack Young (D),"2,802,789 (US: 21st)",,UTC−4 (EDT),UTC−5 (EST),Mayor–council,11.10 sq mi (28.76 km2)  12.1%,City of Baltimore,−2.97%,39°18′00″N 76°36′38″W﻿ ,21231-21298,24-04000,,0597040,Province of Maryland,
30,Milwaukee,Wisconsin,"594,833",249.2 ,96.2 ,"2,388","6,186",414,"Milwaukee, Washington, Waukesha",United States,,Milwaukeean,"6,189.58/sq mi (2,389.82/km2)",617 ft (188 m),"592,025,595,351",,"January 31, 1846; 173 years ago (1846-01-31)",96.19 sq mi (249.12 km2),Tom Barrett (D),"1,572,245 (US: 39th)","US: 31st
WI: 1st",UTC−5 (CDT),UTC−6 (CST),Strong mayor-council,0.63 sq mi (1.63 km2),city.milwaukee.gov,−0.47%,43°03′48″N 87°58′00″W﻿ ,53172-53295,55-53000[4],,1577901[5],,Milwaukee Mitchell International Airport (MKE)
31,Albuquerque,New Mexico,"545,852",487.4 ,188.2 ,"1,147","2,972","505, 575",,United States,Bernalillo,,"2,900/sq mi (1,100/km2)","5,312 ft (1,619.1 m)","560,218,558,545",1706 (as Alburquerque),1891 (as Albuquerque),187.7 sq mi (486.2 km2),Tim Keller (D),"915,927 (60th)1,171,991 (Albuquerque–Santa Fe–Las Vegas CSA)",US: 32nd,UTC−6 (MDT),UTC−7 (MST),Mayor-council government,1.8 sq mi (4.7 km2),www.cabq.gov,+2.63%,35°06′20″N 106°38′51″W﻿ ,87101-87199,35-02000,,0928679,,"Albuquerque International SunportABQ (Major/International),Double Eagle II Airport-KAEG (Public)"
32,Tucson,Arizona,"520,116",597.8 ,230.8 ,888,"2,299",520,,United States,Pima,Tucsonan,"2,246.95/sq mi (867.55/km2)","2,389 ft (728 m)","545,975,535,677",,"February 7, 1877[1]",236.19 sq mi (611.73 km2),Jonathan Rothschild (D),"1,010,025 (58th)",US: 33rd,,UTC−7 (MST (no DST)),Council-manager government,0.32 sq mi (0.82 km2),www.tucsonaz.gov,+4.97%,32°09′11″N 110°52′14″W﻿ ,,04-77000,,43534[5],,
33,Fresno,California,"494,665",296.3 ,114.4 ,"1,762","4,563",559,,United States,Fresno,Fresnan,"4,562.76/sq mi (1,761.69/km2)",308 ft (94 m),"530,093,527,438",,"October 12, 1885[1]",114.42 sq mi (296.34 km2),Lee Brand (R)[2],"972,297",1st in Fresno County5th in California34th in the United States,UTC−07:00 (PDT),UTC−08:00 (Pacific),Mayor-Council,0.28 sq mi (0.73 km2)  0.31%,www.fresno.gov,+7.16%,36°47′01″N 119°47′36″W﻿ ,93650-93888,06-27000[11],,"277606, 2410546",,Fresno Yosemite International AirportFAT (Major/International)
34,Mesa,Arizona,"439,041",357.2 ,137.9 ,"1,357","3,514",480 602,,United States,Maricopa,,"3,514.66/sq mi (1,357.01/km2)","1,240 ft (377.952 m)","508,958,496,401",1878,,137.88 sq mi (357.10 km2),John Giles (R),"4,737,270 (US: 11th)",US: 36th,,UTC−7 (MST (no DST)),,0.75 sq mi (1.95 km2),www.mesaaz.gov,+15.92%,33°24′07″N 111°43′03″W﻿ ,,04-46000,,,,
35,Sacramento,California,"466,488",253.6 ,97.9 ,"1,953","5,059",916 and 279,,United States,Sacramento,Sacramentan,"5,057.33/sq mi (1,952.65/km2)",30 ft (9 m),"508,529,501,901",,"February 27, 1850[1]",97.92 sq mi (253.62 km2),Darrell Steinberg (D)[4],"2,149,127",1st in Sacramento County6th in California35th in the United States,UTC−7 (PDT),UTC−8 (PST),City Council[3],2.18 sq mi (5.65 km2)  2.19%,cityofsacramento.org,+9.01%,38°34′00″N 121°28′07″W﻿ ,94200-95800,06-64000,,"1659564, 2411751",,Sacramento International AirportSMF (Major/International)
36,Atlanta,Georgia,"420,003",345.8 ,133.5 ,"1,366","3,539",404/678/470/770,"Fulton, DeKalb",United States,,Atlantan[9],"3,547/sq mi (1,370/km2)","738 to 1,050 ft (225 to 320 m)","498,044,486,290",,,133.2 sq mi (344.9 km2),Keisha Lance Bottoms (D),"5,884,736[7] (9th)",,UTC−4 (EDT),UTC−5 (EST),,0.8 sq mi (2.2 km2),atlantaga.gov,+18.58%,33°45′46″N 84°25′22″W﻿ ,30060-30363,13-04000[11],,0351615[12],,
37,Kansas City,Missouri,"459,787",815.8 ,315.0 ,590,"1,528","816, 975 (planned)","Jackson, Clay, Platte, Cass",United States,,Kansas Citian,"1,400/sq mi (560/km2)",910 ft (277 m),"491,918,488,943",,"June 1, 1850 (as the Town of Kansas); March 28, 1853 (as the City of Kansas)",314.95 sq mi (815.72 km2),Sly James (D),"2,159,159 (US: 29th)",US: 37thMO: 1st,UTC– 05:00 (CDT),UTC– 06:00 (CST),,4.08 sq mi (10.57 km2),KCMO.gov,+6.99%,39°07′30″N 94°33′04″W﻿ ,64141-64161,29000-38000[4],,0748198[5],,Kansas City International Airport
38,Colorado Springs,Colorado,"416,427",506.6 ,195.6 ,918,"2,378",719,,United States,El Paso,,"2,388.31/sq mi (922.13/km2)","6,035 ft (1,839 m),14,110 ft (4,300 m),5,740 ft (1,750 m)","472,688,465,101",,"June 19, 1871[5]",194.74 sq mi (504.38 km2),John Suthers,"712,327 (US: 79th)",US: 40th,UTC−6 (MDT),UTC−7 (MST),Home rule municipality[4],0.37 sq mi (0.95 km2),coloradosprings.gov,+13.51%,38°52′02″N 104°45′39″W﻿ ,80901-80997,08-16000,,0204797,,
39,Miami,Florida,"399,457",93.2 ,36.0 ,"4,865","12,599",305 and 786,,United States,Miami-Dade,,"12,604.32/sq mi (4,866.49/km2)","6 ft (2 m),42 ft (13 m),0 ft (0 m)","470,914,463,347",,"July 28, 1896",35.99 sq mi (93.20 km2),Francis X. Suarez (R),"6,158,824 (US: 7th)",2nd in Florida43rd in United States,UTC−4 (EDT),UTC−5 (Eastern (EST)),Mayor–commission,20.08 sq mi (52.00 km2),miamigov.com,+17.89%,25°46′31″N 80°12′31″W﻿ ,33010-33299,12-45000,,"277593, 2411786",,"Miami International Airport,Fort Lauderdale–Hollywood International AirportPalm Beach International Airport"
40,Raleigh,North Carolina,"403,892",375.8 ,145.1 ,"1,221","3,163","919, 984","Wake, Durham",United States,,Raleighite,"3,284/sq mi (1,268/km2)",315 ft (96 m),"469,298,464,758",,,142.8 sq mi (369 km2),Nancy McFarlane (I),,,UTC−04:00 (EDT),UTC−05:00 (EST),Council–Manager,2.0 sq mi (2.5 km2),raleighnc.gov,+16.19%,35°49′50″N 78°38′30″W﻿ ,27601-27617,37-55000[5],,1024242[1],,RDU
41,Omaha,Nebraska,"408,958",345.0 ,133.2 ,"1,296","3,356","402, 531",,United States,Douglas,,"3,378.26/sq mi (1,304.35/km2)","1,090 ft (332 m)","468,262,466,061",1854,1857,138.21 sq mi (357.95 km2),Jean Stothert (R),"975,454 (US: 59th)",US: 40th,UTC−05:00 (CDT),UTC−06:00 (CST),,3.60 sq mi (9.32 km2),www.cityofomaha.org,+14.50%,41°15′52″N 96°02′42″W﻿ ,68022-68164,31-37000,,0835483[5],,
42,Long Beach,California,"462,257",130.3 ,50.3 ,"3,609","9,347",562,,United States,Los Angeles,,"9,343.55/sq mi (3,607.56/km2)",52 ft (16 m),"467,354,469,450",,"December 13, 1897[2]",50.32 sq mi (130.32 km2),Robert Garcia (D)[4],"13,131,431",2nd in Los Angeles County7th in California39th in the United States,UTC−07:00 (PDT),UTC−08:00 (Pacific),Council-manager[3],1.16 sq mi (3.00 km2)  2.22%,www.longbeach.gov,+1.10%,33°48′33″N 118°09′19″W﻿ ,90801-90899,06-43000,,"1652747, 2410866",,"Los Angeles International AirportLAX (Major/International),Hollywood Burbank Airport-BUR (Regional) Van Nuys Airport-VNY (Regional) Long Beach Airport-LGB (Regional)"
43,Virginia Beach,Virginia,"437,994",633.8 ,244.7 ,710,"1,850",757,,United States,None (Independent city),,"1,840.58/sq mi (710.65/km2)",10 ft (3 m),"450,189,450,189",,1952,244.72 sq mi (633.83 km2),Bobby Dyer (R),"1,725,246 (37th)",,UTC−4 (EDT),UTC−5 (EST),Council-manager,252.78 sq mi (654.68 km2),www.vbgov.com,+2.78%,36°46′48″N 76°01′31″W﻿ ,,51-82000[3],,1500261[4],,
44,Oakland,California,"390,724",144.8 ,55.9 ,"2,901","7,514",510,,United States,Alameda,Oaklander,"7,514.45/sq mi (2,901.34/km2)",43 ft (13 m),"429,082,425,195",,"May 4, 1852[3][4]",55.89 sq mi (144.76 km2),Libby Schaaf (D)[7],,1st in Alameda County8th in California45th in the United States,UTC−07:00 (PDT),UTC−08:00 (Pacific),Strong mayor[6],21.97 sq mi (56.90 km2)  28.48%,www.oaklandca.gov[16][17][18],+9.82%,37°46′11″N 122°13′33″W﻿ ,94601-94662,06-53000,,"277566, 2411292",,Oakland International AirportOAK (Major/International)
45,Minneapolis,Minnesota,"382,578",139.9 ,54.0 ,"2,960","7,660",612,,United States,Hennepin,Minneapolitan,"7,820.80/sq mi (3,019.64/km2)",830 ft (264 m),"425,403,425,403",John H. Stevens and Franklin Steele,1867,54.00 sq mi (139.86 km2),Jacob Frey (D),"3,600,618 (US: 16th)[2]","US: 46th 
MN: 1st",UTC–5 (CDT),UTC–6 (CST),Weak mayor–council,3.49 sq mi (9.03 km2),www.minneapolismn.gov,+11.19%,44°57′48″N 93°16′06″W﻿ ,55401-55488,27-43000,,0655030[5],,Minneapolis–Saint Paul International Airport
46,Tulsa,Oklahoma,"391,906",509.7 ,196.8 ,791,"2,048",539/918,"Osage, Rogers, Tulsa, Wagoner",United States,,Tulsan,"2,074/sq mi (801/km2)",722 ft (194 m),"400,669,413,505",,,192.7 sq mi (483.1 km2),G. T. Bynum (R),"991,561 (US: 50th)",US: 47th,UTC−5 (CDT),UTC−6 (CST),Mayor-Council,4.2 sq mi (10.9 km2),cityoftulsa.org,+2.24%,36°07′40″N 95°54′08″W﻿ ,74108-74193,40-75000,,1100962[4],,
